0.01,0,1.389,-4.894,-1.688,0.35,-0.089,0,0,19.372,22.164,-2.261,-1.568,-0.002,110.577,-37.351,-20.412,-23.928,7.37,-27.074
0.02,0,1.432,-5.025,-1.732,0.361,-0.092,0,0,19.891,22.453,-2.307,-1.555,-0.002,111.286,-37.209,-20.529,-24.061,7.516,-27.638
0.03,0,1.477,-5.155,-1.777,0.371,-0.095,0,0,20.426,22.75,-2.354,-1.541,-0.002,111.866,-37.211,-20.46,-24.363,7.613,-28.321
0.04,0,1.521,-5.285,-1.822,0.381,-0.098,0,0,20.976,23.055,-2.403,-1.527,-0.002,112.657,-37.131,-20.06,-24.831,7.679,-29.049
0.05,0,1.566,-5.412,-1.865,0.392,-0.101,0,0,21.542,23.369,-2.454,-1.513,-0.002,113.834,-37.226,-19.712,-25.279,7.693,-29.73
0.06,0,1.611,-5.538,-1.908,0.402,-0.104,0,-0,22.123,23.69,-2.506,-1.498,-0.002,114.906,-37.309,-19.767,-25.739,7.656,-30.332
0.07,0,1.657,-5.664,-1.951,0.412,-0.107,0,-0,22.72,24.019,-2.559,-1.483,-0.002,115.443,-36.926,-19.962,-26.143,7.586,-30.767
0.08,0,1.703,-5.791,-1.994,0.422,-0.11,0,-0,23.333,24.356,-2.614,-1.467,-0.002,115.223,-35.94,-20.207,-26.492,7.525,-31.018
0.09,0,1.75,-5.916,-2.037,0.432,-0.114,0,-0,23.962,24.701,-2.671,-1.45,-0.002,115.386,-34.68,-20.231,-26.785,7.509,-31.14
0.1,0,1.797,-6.039,-2.079,0.442,-0.117,0,-0,24.605,25.053,-2.728,-1.433,-0.002,116.289,-33.617,-19.914,-26.95,7.608,-31.264
0.11,0,1.844,-6.158,-2.119,0.452,-0.12,0,-0,25.264,25.412,-2.788,-1.416,-0.002,116.843,-32.914,-19.829,-27.14,7.797,-31.406
0.12,0,1.891,-6.275,-2.159,0.462,-0.123,0,-0,25.938,25.779,-2.848,-1.397,-0.001,116.963,-32.26,-19.593,-27.355,8.06,-31.574
0.13,0,1.939,-6.39,-2.198,0.472,-0.126,0,0,26.627,26.154,-2.911,-1.379,-0.001,116.783,-31.789,-19.11,-27.829,8.368,-31.718
0.14,0,1.986,-6.502,-2.236,0.481,-0.129,0,0,27.328,26.534,-2.974,-1.36,-0.001,117.549,-31.491,-18.629,-28.374,8.678,-31.838
0.15,0,2.034,-6.611,-2.273,0.49,-0.133,0,0,28.044,26.922,-3.039,-1.34,-0.001,118.294,-31.274,-18.224,-29.138,8.931,-31.92
0.16,0,2.082,-6.718,-2.309,0.499,-0.136,0,0,28.772,27.315,-3.105,-1.32,-0.001,118.746,-30.849,-17.952,-29.721,9.105,-31.956
0.17,0,2.131,-6.825,-2.345,0.509,-0.139,0,0,29.515,27.716,-3.173,-1.299,-0.001,118.109,-30.071,-17.617,-30.411,9.156,-31.99
0.18,0,2.18,-6.93,-2.381,0.517,-0.142,0,0,30.269,28.121,-3.242,-1.278,-0.001,118.557,-28.909,-17.021,-30.692,9.126,-32.131
0.19,0,2.229,-7.032,-2.415,0.526,-0.145,0,0,31.036,28.532,-3.312,-1.256,-0.001,118.68,-27.731,-16.419,-31.129,9.017,-32.446
0.2,0,2.278,-7.131,-2.448,0.535,-0.148,0,0,31.814,28.949,-3.383,-1.233,-0.001,118.76,-26.349,-15.94,-31.081,8.871,-32.894
0.21,0,2.327,-7.226,-2.48,0.543,-0.151,0,0,32.605,29.372,-3.456,-1.21,-0.001,118.106,-25.214,-15.557,-31.257,8.722,-33.419
0.22,0,2.376,-7.317,-2.51,0.551,-0.154,0,0,33.404,29.798,-3.53,-1.187,-0.001,118.437,-24.143,-15.321,-31.143,8.655,-33.938
0.23,0,2.426,-7.405,-2.54,0.558,-0.157,0,0,34.214,30.229,-3.605,-1.163,-0.001,118.446,-23.117,-15.171,-31.436,8.67,-34.356
0.24,0,2.475,-7.488,-2.568,0.566,-0.16,0,0,35.033,30.664,-3.681,-1.138,-0.001,118.546,-22.391,-15.143,-31.489,8.762,-34.662
0.25,0,2.524,-7.569,-2.594,0.573,-0.163,0,0,35.86,31.103,-3.758,-1.113,-0.001,118.391,-21.563,-15.062,-31.722,8.836,-34.824
0.26,0,2.573,-7.647,-2.62,0.58,-0.166,0,0,36.696,31.545,-3.836,-1.088,-0.001,117.98,-20.483,-14.833,-31.81,8.893,-34.858
0.27,0,2.623,-7.723,-2.645,0.586,-0.168,0,0,37.538,31.99,-3.914,-1.062,-0,118.111,-18.871,-14.617,-31.942,8.922,-34.803
0.28,0,2.672,-7.795,-2.669,0.593,-0.171,0,-0,38.387,32.439,-3.994,-1.035,-0,117.517,-17.151,-14.014,-32.155,8.942,-34.66
