0,0,0,-0,-0,0,-0,-0,-0,208.308,46.749,-7.779,3.201,-0.007,22.906,205.08,28.724,-7.174,7.779,1.824,-34.359,4.842,27.038,-0.907,-6.866,-2.747
0.01,0,0,-0,-0,0,-0,-0,-0,208.308,46.749,-7.779,3.201,-0.007,22.846,205.226,28.836,-7.34,7.546,1.596,-17.09,2.207,13.355,-0.205,-3.084,-1.031
0.02,0,0,-0,-0,0,-0,-0,-0,208.308,46.749,-7.779,3.201,-0.007,22.786,205.363,28.955,-7.495,7.316,1.37,-25.634,3.318,20.017,-0.324,-4.63,-1.551
0.03,0,0,-0,-0,0,-0,-0,-0,208.307,46.749,-7.779,3.201,-0.007,22.746,205.486,29.086,-7.638,7.089,1.148,-21.302,2.577,16.489,-0.049,-3.516,-0.958
0.04,0,0,-0,-0,0,-0,-0,-0,208.307,46.749,-7.779,3.201,-0.007,22.717,205.609,29.219,-7.771,6.863,0.929,-23.424,2.762,18.053,0.012,-3.734,-0.926
0.05,0,0,-0,-0,0,-0,-0,-0,208.306,46.749,-7.779,3.201,-0.007,22.7,205.757,29.35,-7.895,6.638,0.716,-22.338,2.444,17.073,0.168,-3.288,-0.623
0.06,0,0,-0,-0,0,-0,-0,-0,208.306,46.749,-7.779,3.201,-0.007,22.683,205.9,29.49,-8.011,6.415,0.511,-22.856,2.388,17.352,0.264,-3.176,-0.466
0.07,0,0,-0,-0,0,-0,-0,-0,208.305,46.749,-7.779,3.201,-0.007,22.651,206.034,29.633,-8.119,6.196,0.313,-22.551,2.214,16.998,0.378,-2.903,-0.247
0.08,0,0,-0,-0,0,-0,-0,-0,208.305,46.749,-7.779,3.201,-0.007,22.594,206.169,29.786,-8.219,5.982,0.119,-22.617,2.099,16.946,0.471,-2.719,-0.066
0.09,0,0,-0,-0,0,-0,-0,-0,208.305,46.749,-7.779,3.201,-0.007,22.517,206.323,29.95,-8.31,5.775,-0.071,-22.468,1.924,16.726,0.561,-2.5,0.129
0.1,0,0,-0,-0,0,-0,-0,-0,208.305,46.749,-7.779,3.201,-0.007,22.44,206.463,30.11,-8.392,5.573,-0.257,-22.426,1.802,16.597,0.64,-2.307,0.31
0.11,0,0,-0,-0,-0,-0,-0,-0,208.305,46.749,-7.779,3.201,-0.007,22.363,206.603,30.269,-8.468,5.378,-0.437,-22.331,1.653,16.422,0.713,-2.111,0.49
0.12,0,0,-0,-0,-0,-0,-0,-0,208.305,46.749,-7.779,3.201,-0.007,22.286,206.743,30.438,-8.536,5.19,-0.615,-22.263,1.517,16.256,0.779,-1.927,0.667
0.13,0,0,-0,-0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,22.209,206.897,30.6,-8.598,5.007,-0.792,-22.181,1.353,16.096,0.84,-1.745,0.843
0.14,0,0,-0,-0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,22.157,207.043,30.762,-8.654,4.831,-0.965,-22.145,1.217,15.933,0.893,-1.571,1.015
0.15,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,22.106,207.189,30.917,-8.703,4.66,-1.133,-22.086,1.066,15.782,0.94,-1.402,1.181
0.16,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,22.046,207.334,31.074,-8.748,4.496,-1.295,-22.026,0.923,15.622,0.983,-1.24,1.34
0.17,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.969,207.489,31.236,-8.789,4.338,-1.449,-21.94,0.763,15.459,1.024,-1.085,1.492
0.18,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.891,207.631,31.398,-8.826,4.188,-1.596,-21.867,0.629,15.298,1.059,-0.937,1.638
0.19,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.814,207.774,31.557,-8.858,4.044,-1.738,-21.788,0.482,15.139,1.089,-0.795,1.777
0.2,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.737,207.926,31.724,-8.886,3.907,-1.871,-21.712,0.328,14.968,1.117,-0.661,1.907
0.21,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.663,208.069,31.89,-8.913,3.777,-1.996,-21.638,0.191,14.804,1.143,-0.533,2.03
0.22,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.609,208.186,32.052,-8.938,3.654,-2.113,-21.594,0.084,14.643,1.167,-0.412,2.144
0.23,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.554,208.303,32.212,-8.958,3.536,-2.223,-21.535,-0.039,14.484,1.186,-0.296,2.251
0.24,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.489,208.44,32.371,-8.975,3.425,-2.325,-21.466,-0.183,14.324,1.202,-0.188,2.352
0.25,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.411,208.577,32.524,-8.99,3.32,-2.422,-21.384,-0.317,14.176,1.216,-0.084,2.447
0.26,0,0,0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.334,208.691,32.679,-9.003,3.221,-2.512,-21.309,-0.421,14.018,1.228,0.012,2.534
0.27,0,0,-0,0,-0,-0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,21.203,208.831,32.864,-9.013,3.121,-2.599,-21.15,-0.579,13.818,1.238,0.115,2.621
0.28,0,-0,0,0,0,0,-0,-0,208.305,46.749,-7.779,3.202,-0.007,20.777,209.183,33.233,-9.033,2.964,-2.692,-20.606,-1.024,13.365,1.263,0.298,2.716
0.29,0,-0.001,0,0,0,0,-0,0,208.305,46.749,-7.779,3.202,-0.007,19.703,210.046,34.171,-9.085,2.641,-2.805,-19.353,-2.074,12.187,1.33,0.692,2.838
0.3,0,-0.002,0.001,0,0,0,-0,0,208.305,46.749,-7.779,3.202,-0.007,17.391,211.691,36.236,-9.195,2.069,-2.956,-16.645,-3.924,9.706,1.459,1.354,3.003
0.31,0,-0.007,0.004,0.001,-0,0,-0,0,208.305,46.749,-7.779,3.202,-0.007,13.617,214.24,39.857,-9.378,1.218,-3.158,-12.73,-6.509,5.624,1.659,2.301,3.224
0.32,0,-0.016,0.011,0.004,-0,0,-0,0,208.305,46.75,-7.779,3.202,-0.007,8.52,217.789,45.024,-9.635,0.153,-3.412,-7.824,-9.915,0.163,1.919,3.434,3.495
0.33,0,-0.033,0.024,0.009,-0.001,0,-0,0,208.306,46.752,-7.779,3.202,-0.007,2.331,222.383,51.269,-9.976,-1.112,-3.716,-2.176,-14.13,-6.068,2.258,4.777,3.815
0.34,0,-0.059,0.046,0.018,-0.002,0.001,-0,0,208.308,46.755,-7.78,3.202,-0.007,-5.163,228.071,58.14,-10.391,-2.504,-4.066,4.909,-19.337,-12.745,2.653,6.21,4.18
0.35,0,-0.096,0.077,0.03,-0.003,0.001,-0,0,208.31,46.76,-7.781,3.202,-0.007,-13.614,234.8,65.162,-10.87,-3.934,-4.458,12.404,-25.408,-19.35,3.11,7.658,4.585
0.36,0,-0.147,0.119,0.047,-0.005,0.001,-0,0,208.314,46.768,-7.782,3.202,-0.007,-22.154,242.451,71.724,-11.404,-5.231,-4.901,19.463,-32.275,-25.247,3.617,8.901,5.047
0.37,0,-0.212,0.171,0.068,-0.007,0.002,-0,-0,208.32,46.781,-7.784,3.202,-0.007,-29.914,250.837,76.99,-11.989,-6.339,-5.38,25.326,-39.706,-29.503,4.173,9.967,5.533
0.38,0,-0.292,0.237,0.094,-0.01,0.003,-0,-0,208.327,46.797,-7.787,3.202,-0.007,-36.803,259.406,80.76,-12.571,-7.27,-5.867,30.594,-47.007,-32.327,4.697,10.86,6.021
0.39,0,-0.385,0.315,0.124,-0.013,0.004,-0,0,208.337,46.818,-7.79,3.202,-0.007,-42.709,267.303,83.41,-13.13,-8.035,-6.348,34.77,-53.246,-34.207,5.201,11.593,6.498
0.4,0,-0.491,0.405,0.158,-0.016,0.006,-0,0,208.349,46.845,-7.795,3.201,-0.007,-47.843,274.283,85.255,-13.661,-8.584,-6.84,38.548,-58.747,-35.387,5.676,12.078,6.996
0.41,0,-0.609,0.506,0.196,-0.02,0.007,-0,0,208.364,46.878,-7.8,3.201,-0.007,-51.78,280.414,86.831,-14.178,-9.014,-7.345,40.658,-63.533,-36.587,6.16,12.507,7.505
0.42,0,-0.739,0.619,0.238,-0.024,0.009,-0,0,208.381,46.918,-7.806,3.201,-0.007,-54.814,285.326,88.002,-14.662,-9.438,-7.865,42.454,-66.733,-37.083,6.571,12.958,8.03
0.43,0,-0.878,0.742,0.283,-0.029,0.011,-0,-0,208.401,46.964,-7.814,3.201,-0.007,-57.266,289.169,89.117,-15.112,-9.948,-8.356,43.713,-69.32,-37.904,6.972,13.523,8.503
0.44,0,-1.027,0.875,0.332,-0.034,0.013,-0,-0,208.423,47.018,-7.823,3.201,-0.007,-59.594,291.826,90.055,-15.573,-10.509,-8.792,45.234,-70.471,-38.274,7.388,14.106,8.921
0.45,0,-1.185,1.017,0.384,-0.039,0.015,-0,-0,208.447,47.079,-7.833,3.201,-0.007,-61.777,293.609,91.005,-16.101,-11.012,-9.185,46.389,-71.208,-38.934,7.904,14.588,9.3
0.46,0,-1.351,1.166,0.439,-0.045,0.017,-0,-0,208.475,47.148,-7.844,3.2,-0.007,-64.077,295.311,91.671,-16.676,-11.498,-9.606,47.997,-72.344,-39.079,8.448,15.089,9.742
0.47,0,-1.526,1.321,0.496,-0.051,0.019,-0,-0,208.506,47.225,-7.857,3.2,-0.007,-66.451,296.946,92.45,-17.259,-12.064,-10.118,49.438,-73.161,-39.668,8.993,15.703,10.29
0.48,0,-1.709,1.483,0.556,-0.057,0.022,-0,-0,208.54,47.31,-7.871,3.2,-0.007,-68.991,298.703,93.202,-17.806,-12.631,-10.707,51.229,-74.335,-39.968,9.479,16.26,10.898
0.49,0,-1.902,1.652,0.619,-0.063,0.024,-0,-0,208.577,47.404,-7.886,3.2,-0.007,-71.643,300.637,94.174,-18.336,-13.118,-11.285,52.987,-75.6,-40.753,9.971,16.725,11.461
0.5,0,-2.103,1.829,0.685,-0.07,0.027,-0,-0,208.618,47.505,-7.903,3.2,-0.007,-74.68,302.366,95.15,-18.858,-13.502,-11.827,55.422,-76.301,-41.21,10.433,17.087,11.993
0.51,0,-2.313,2.014,0.754,-0.077,0.03,-0.001,0,208.662,47.615,-7.921,3.199,-0.007,-77.663,303.717,96.564,-19.326,-13.842,-12.355,57.254,-76.645,-42.491,10.831,17.437,12.518
0.52,0,-2.532,2.207,0.826,-0.084,0.033,-0.001,0,208.71,47.733,-7.94,3.199,-0.007,-80.58,304.989,98.043,-19.623,-14.199,-12.874,59.315,-77.126,-43.425,10.998,17.817,13.033
0.53,0,-2.76,2.408,0.901,-0.092,0.036,-0.001,0,208.762,47.859,-7.961,3.199,-0.007,-83.646,306.174,99.66,-19.737,-14.577,-13.343,61.583,-77.392,-44.742,11.007,18.214,13.478
0.54,0,-2.997,2.615,0.978,-0.1,0.039,-0.001,0,208.818,47.994,-7.983,3.199,-0.007,-86.946,308.229,101.1,-19.797,-14.865,-13.69,64.138,-79.407,-45.675,11.028,18.461,13.776
